player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jalen Milroe,146590,QB,ALABAMA,12,74.7,273,291,10.1,2.85,2,17,5.4,64.9,189,0,107,7.4,330,15,0.13,120,103,56.1,90.3,81.9,83.4,7,10,353,5,48.2,16.8,97.0,5.5,18,21,0,9,15,9,2.5,2652,9.1
Brady Cook,124199,QB,MISSOURI,11,70.8,274,290,9.4,2.71,6,12,3.9,63.1,183,0,91,5.7,328,11,0.18,102,229,70.9,76.7,71.6,75.1,0,2,344,2,46.3,22.0,94.4,6.1,20,18,0,10,9,2,0.6,2248,7.8
Eli Holstein,172381,QB,PITTSBURGH,10,69.4,271,290,9.5,2.95,9,12,3.9,61.7,179,0,122,4.8,349,9,0.11,117,268,28.1,63.1,57.1,72.0,6,7,374,0,46.4,17.2,95.0,6.0,21,33,0,4,17,20,5.3,2226,7.7
Sam Leavitt,175465,QB,ARIZONA ST,11,73.9,268,288,9.4,3.04,2,11,3.7,62.5,180,0,113,9.1,347,18,0.33,131,110,81.4,90.1,86.2,76.7,3,5,362,9,51.0,13.3,106.6,4.3,15,43,0,15,21,3,0.8,2441,8.5
Hayden Wolff,98362,QB,W MICHIGAN,12,76.3,266,288,8.4,2.84,6,8,2.7,67.0,193,0,89,4.9,318,10,0.09,108,347,56.4,69.4,71.4,44.4,0,7,331,3,47.2,23.6,99.7,6.6,21,9,0,16,17,9,2.7,2225,7.7
Diego Pavia,156927,QB,VANDERBILT,12,71.0,245,277,9.9,2.98,12,18,6.0,59.2,164,0,134,5.7,325,10,0.16,112,333,64.4,87.5,85.4,72.4,4,4,347,1,46.2,11.2,97.9,4.6,15,32,0,16,17,5,1.4,2130,7.7
CJ Bailey,183349,QB,NC STATE,10,76.9,251,276,8.6,2.89,9,13,4.4,64.1,177,0,102,8.3,328,16,0.06,110,248,45.0,73.3,71.5,65.4,4,9,353,1,47.0,19.6,91.8,6.1,20,31,0,12,14,16,4.5,2183,7.9
Garrett Greene,123420,QB,W VIRGINIA,10,68.5,254,276,10.1,3.05,5,11,3.7,58.3,161,0,111,7.5,331,13,0.15,116,343,48.8,79.2,70.0,80.1,4,11,358,1,46.5,19.8,79.5,6.6,22,33,0,13,13,14,3.9,1968,7.1
Ben Wooldridge,82115,QB,LA LAFAYET,10,78.3,258,274,8.6,2.61,4,9,3.1,66.8,183,0,85,9.4,308,19,0.34,119,207,64.7,84.8,82.1,70.6,1,5,327,5,54.5,10.6,107.2,2.9,9,25,2,9,17,7,2.1,2390,8.7
Evan Bullock,170452,QB,LA TECH,10,76.1,255,274,7.5,2.66,5,4,1.4,66.4,182,0,102,6.2,327,12,-0.07,92,208,35.8,67.5,68.0,55.4,3,2,335,3,40.4,33.3,100.6,10.4,34,14,2,9,14,10,3.0,1917,7.0
Walker Eget,146170,QB,S JOSE ST,10,64.8,253,273,13.4,2.48,6,17,5.8,56.4,154,0,62,6.1,286,10,0.09,96,285,62.1,85.2,83.3,66.5,2,9,306,1,47.6,6.5,82.6,1.4,4,9,2,10,11,8,2.6,2217,8.1
Ashton Daniels,157259,QB,STANFORD,11,73.2,246,272,9.2,3.15,2,9,3.1,62.5,170,0,132,5.6,332,10,-0.02,101,300,42.2,71.6,65.3,71.2,0,12,357,0,45.2,15.2,74.1,6.0,20,40,1,23,10,16,4.5,1700,6.3
Ethan Vasko,163817,QB,COAST CAR,12,65.1,258,272,10.8,2.58,3,19,6.5,54.4,148,0,91,11.9,292,20,0.1,98,141,78.1,84.2,78.2,76.3,1,8,314,3,40.8,6.6,84.7,2.1,6,13,1,9,14,11,3.5,2113,7.8
LaNorris Sellers,174326,QB,S CAROLINA,11,74.1,243,267,8.7,3.26,3,12,4.1,64.0,171,0,150,5.0,343,9,0.18,123,289,24.2,74.7,68.1,73.3,2,7,371,7,46.1,19.3,101.0,8.5,29,47,2,17,17,19,5.1,2261,8.5
Davis Bryson,160369,QB,KENNESAW,11,63.3,245,262,7.3,2.39,3,4,1.5,55.0,144,0,81,7.1,291,11,-0.2,68,200,59.0,57.4,51.7,65.7,2,10,303,4,36.4,18.5,63.4,5.2,15,11,0,12,6,10,3.3,1495,5.7
Darian Mensah,169984,QB,TULANE,12,75.8,248,262,11.4,3.18,2,17,6.1,65.6,172,0,97,8.5,304,16,0.36,121,319,45.7,85.8,85.0,63.9,2,5,323,2,48.7,16.5,114.2,5.3,16,26,0,10,20,13,4.0,2513,9.6
Kaidon Salter,132046,QB,LIBERTY,11,66.5,248,262,11.9,3.0,6,19,6.7,55.7,146,0,95,11.5,314,19,0.06,100,206,38.1,82.0,75.7,76.4,1,6,337,3,46.8,21.1,87.9,6.4,20,31,0,7,15,14,4.2,1875,7.2
