player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Demone Green,162997,ED,RICE,3,0,0,,0,0,275,0,0,,72.3,78.0,66.6,70.4,79.4,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,0,0,29,13,0,0,18,24,0,5,7,0,0,3,0,0,0,
Daveon Hook,163000,S,RICE,12,12,0,70.6,1,0,275,0,0,63.3,66.5,85.1,64.7,68.5,59.3,2,0,0,0,41,18.7,14,1,1,132.4,12,1,0,287,8,296,589,8,0,0,8,0,202,581,16,277,84,26,49,3,17,3,3,130,65,10.8
Quinton Jackson,163001,HB,RICE,1,0,0,,0,0,275,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Chibby Nwajuaku,163005,ED,RICE,6,0,0,0.0,0,0,275,0,0,46.4,62.1,79.9,55.5,71.3,59.9,0,0,0,0,,16.7,1,0,0,39.6,0,0,0,0,0,2,42,39,0,0,39,0,0,3,8,32,3,4,5,0,1,0,0,0,0,
Braylen Walker,163008,WR,RICE,1,0,0,,1,0,275,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,3,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
AJ Brown,163011,S,UAB,12,10,0,76.9,0,0,321,0,0,66.6,61.2,81.7,77.8,48.6,39.4,0,1,0,1,50,26.2,11,1,1,88.0,10,1,0,183,0,127,297,5,0,0,5,0,30,292,4,166,79,9,21,1,13,2,1,88,54,8.8
Carl Fauntroy,163014,S,LA MONROE,10,12,0,51.9,0,1,209,0,0,74.4,70.6,86.1,60.0,61.3,81.2,1,0,0,1,56,10.9,7,3,0,73.8,14,0,0,264,2,317,644,1,0,0,1,0,275,643,1,326,102,15,45,2,27,1,1,205,120,14.6
Brandon Franklin,163015,LB,UAB,2,0,0,,0,0,321,0,0,56.0,57.2,70.0,,60.8,25.9,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,9,0,7,11,0,0,0,0,0,1,11,0,4,1,0,0,0,0,0,0,0,0,
Michael Moore,163027,LB,UAB,12,25,1,60.9,1,0,321,0,0,76.3,66.7,0.0,62.0,65.3,86.0,1,2,0,2,18,6.0,5,1,6,51.4,14,0,0,505,3,268,665,115,0,0,115,0,2,550,28,369,40,24,53,2,23,3,1,112,90,8.0
Amier Boyd,163030,CB,UTEP,10,1,0,37.0,0,0,330,0,0,72.6,68.6,21.8,,49.5,34.0,0,0,0,2,48,33.3,7,4,2,53.8,10,0,0,17,330,202,360,2,0,0,2,0,1,358,0,158,10,6,13,1,27,0,2,175,112,17.5
